opp,datetime,stadium,attribute_3,attribute_4,competition,ranking,possession,expected_goals_(xg),total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_pc,fouls_committed,corners,shots_off_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,xg_open_play,xg_set_play,non-penalty_xg,xg_on_target_(xgot),passes,own_half,opposition_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,team,opp_ranking,opp_possession,conc_expected_goals_(xg),conc_total_shots,conc_shots_on_target,conc_big_chances,conc_big_chances_missed,conc_accurate_passes,conc_accurate_passes_pc,conc_fouls_committed,conc_corners,conc_shots_off_target,conc_blocked_shots,conc_hit_woodwork,conc_shots_inside_box,conc_shots_outside_box,conc_xg_open_play,conc_xg_set_play,conc_non-penalty_xg,conc_xg_on_target_(xgot),conc_passes,conc_own_half,conc_opposition_half,conc_accurate_long_balls,conc_accurate_long_balls_pc,conc_accurate_crosses,conc_accurate_crosses_pc,conc_throws,conc_touches_in_opposition_box,conc_offsides,conc_yellow_cards,conc_red_cards,conc_tackles_won,conc_tackles_won_pc,conc_interceptions,conc_blocks,conc_clearances,conc_keeper_saves,conc_duels_won,conc_ground_duels_won,conc_ground_duels_won_pc,conc_aerial_duels_won,conc_aerial_duels_won_pc,conc_successful_dribbles,conc_successful_dribbles_pc
Andorra,2021-11-15T19:45:00.000Z,Air Albania Stadium,Andris Treimanis,75,World Cup Qualification UEFA 1st Round Grp. I Round 10,66,75.0,3.4,19,6,5.0,4.0,466,83.0,8,4,7.0,6.0,1.0,13.0,6.0,2.55,0.06,2.61,1.9,563,179.0,287.0,30.0,54.0,13.0,41.0,25.0,3,1.0,0.0,10.0,77.0,3.0,1.0,9.0,3.0,77.0,46.0,67.0,31.0,78.0,16.0,76.0,1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2021-11-15T19:45:00.000Z,swissporarena,Benoit Bastien,"14,300",World Cup Qualification UEFA 1st Round Grp. C Round 10,83,31.0,0.03,1,0,0.0,0.0,157,60.0,5,1,1.0,0.0,0.0,0.0,1.0,0.03,0.0,0.03,0.0,263,98.0,59.0,28.0,39.0,0.0,0.0,18.0,0,2.0,0.0,7.0,47.0,15.0,2.0,35.0,5.0,50.0,34.0,61.0,16.0,62.0,4.0,33.0,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2021-11-15T19:45:00.000Z,Stadio Olimpico di Serravalle,Rade Obrenovic,"2,775",World Cup Qualification UEFA 1st Round Grp. I Round 10,210,15.0,0.07,2,1,0.0,0.0,93,59.0,11,1,1.0,0.0,0.0,0.0,2.0,0.05,0.02,0.07,0.15,157,68.0,25.0,10.0,19.0,0.0,0.0,7.0,0,3.0,1.0,10.0,56.0,12.0,3.0,20.0,4.0,30.0,26.0,42.0,4.0,25.0,1.0,33.0,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2021-11-16T19:45:00.000Z,Helsingin olympiastadion,Marco Guida,"31,890",World Cup Qualification UEFA 1st Round Grp. D Round 10,2,53.0,0.48,8,5,0.0,0.0,466,85.0,4,1,3.0,0.0,0.0,5.0,3.0,0.48,0.0,0.48,1.64,550,197.0,269.0,33.0,55.0,0.0,0.0,27.0,2,0.0,0.0,7.0,64.0,12.0,2.0,24.0,1.0,37.0,21.0,50.0,16.0,84.0,7.0,50.0,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,2021-11-16T19:45:00.000Z,Victoria Stadium,Espen Eskaas,"1,130",World Cup Qualification UEFA 1st Round Grp. G Round 10,203,43.0,1.12,8,3,1.0,0.0,261,76.0,10,1,3.0,2.0,0.0,4.0,4.0,0.91,0.2,1.12,1.14,343,149.0,112.0,31.0,44.0,2.0,17.0,13.0,0,4.0,0.0,6.0,67.0,5.0,1.0,22.0,2.0,54.0,36.0,54.0,18.0,42.0,12.0,71.0,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Türkiye,2021-11-16T19:45:00.000Z,Stadion Pod Goricom,Daniel Siebert,"2,885",World Cup Qualification UEFA 1st Round Grp. G Round 10,70,28.0,0.94,12,3,1.0,1.0,182,70.0,5,3,7.0,2.0,0.0,8.0,4.0,0.52,0.41,0.94,0.38,261,111.0,71.0,20.0,38.0,2.0,14.0,12.0,1,2.0,0.0,3.0,30.0,10.0,4.0,26.0,6.0,41.0,29.0,58.0,12.0,67.0,12.0,55.0,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,2021-11-16T19:45:00.000Z,Stadion Pod Goricom,Daniel Siebert,"2,885",World Cup Qualification UEFA 1st Round Grp. G Round 10,40,72.0,1.92,16,8,3.0,2.0,609,86.0,8,7,4.0,4.0,0.0,9.0,7.0,1.46,0.46,1.92,2.69,706,243.0,366.0,36.0,54.0,8.0,33.0,22.0,1,0.0,0.0,7.0,54.0,4.0,3.0,13.0,1.0,27.0,21.0,42.0,6.0,33.0,3.0,27.0,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,2021-11-16T19:45:00.000Z,Stadion Feijenoord,Clement Turpin,,World Cup Qualification UEFA 1st Round Grp. G Round 10,7,65.0,1.91,10,5,3.0,1.0,482,84.0,5,1,4.0,1.0,0.0,9.0,1.0,1.91,0.0,1.91,2.22,576,263.0,219.0,46.0,59.0,5.0,36.0,22.0,1,2.0,0.0,7.0,54.0,9.0,0.0,14.0,0.0,64.0,39.0,65.0,25.0,61.0,11.0,73.0,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2021-11-16T19:45:00.000Z,Stadion Feijenoord,Clement Turpin,,World Cup Qualification UEFA 1st Round Grp. G Round 10,47,35.0,0.08,2,0,0.0,0.0,223,73.0,17,2,2.0,0.0,0.0,1.0,1.0,0.03,0.06,0.08,0.0,307,140.0,83.0,25.0,40.0,1.0,14.0,20.0,2,2.0,0.0,8.0,62.0,12.0,1.0,16.0,3.0,37.0,21.0,35.0,16.0,39.0,3.0,38.0,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2021-11-16T19:45:00.000Z,Cardiff City Stadium,"32,343",,World Cup Qualification UEFA 1st Round Grp. E Round 10,29,24.0,0.42,8,3,0.0,0.0,183,69.0,7,3,2.0,3.0,0.0,4.0,4.0,0.42,0.0,0.42,0.84,265,90.0,93.0,21.0,38.0,1.0,7.0,10.0,1,2.0,0.0,7.0,50.0,12.0,4.0,13.0,3.0,49.0,30.0,57.0,19.0,48.0,7.0,100.0,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2021-11-16T19:45:00.000Z,Cardiff City Stadium,"32,343",,World Cup Qualification UEFA 1st Round Grp. E Round 10,3,76.0,1.04,16,4,1.0,1.0,778,91.0,9,6,7.0,5.0,1.0,6.0,10.0,0.43,0.61,1.04,1.27,859,477.0,301.0,22.0,56.0,3.0,23.0,17.0,1,3.0,0.0,2.0,33.0,6.0,3.0,14.0,2.0,44.0,23.0,43.0,21.0,53.0,10.0,67.0,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2021-11-16T19:45:00.000Z,Helsingin olympiastadion,Marco Guida,"31,890",World Cup Qualification UEFA 1st Round Grp. D Round 10,61,47.0,0.44,8,1,0.0,0.0,401,83.0,3,6,5.0,2.0,0.0,2.0,6.0,0.23,0.21,0.44,0.04,483,150.0,251.0,15.0,50.0,2.0,15.0,30.0,1,1.0,0.0,5.0,50.0,12.0,0.0,10.0,3.0,24.0,21.0,50.0,3.0,16.0,7.0,78.0,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,2021-11-16T19:45:00.000Z,Generali Arena,Orel Grinfeld,"10,076",World Cup Qualification UEFA 1st Round Grp. E Round 10,123,38.0,0.67,12,2,0.0,0.0,207,67.0,11,3,4.0,6.0,0.0,8.0,4.0,0.49,0.18,0.67,0.69,311,106.0,101.0,32.0,44.0,1.0,9.0,29.0,0,3.0,0.0,4.0,29.0,8.0,5.0,38.0,5.0,45.0,24.0,49.0,21.0,57.0,1.0,14.0,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,2021-11-16T19:45:00.000Z,Victoria Stadium,Espen Eskaas,"1,130",World Cup Qualification UEFA 1st Round Grp. G Round 10,136,57.0,1.65,9,5,3.0,1.0,352,81.0,15,5,3.0,1.0,0.0,8.0,1.0,1.17,0.48,1.65,1.83,436,186.0,166.0,28.0,44.0,13.0,37.0,20.0,2,3.0,0.0,6.0,43.0,6.0,2.0,14.0,2.0,56.0,31.0,46.0,25.0,58.0,7.0,58.0,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2021-11-16T19:45:00.000Z,Stadion Bilino Polje,"3,370",,World Cup Qualification UEFA 1st Round Grp. D Round 10,22,57.0,2.71,15,5,5.0,3.0,461,83.0,6,3,8.0,2.0,0.0,6.0,9.0,2.59,0.12,2.71,2.3,558,248.0,213.0,27.0,45.0,1.0,9.0,25.0,1,1.0,0.0,8.0,50.0,15.0,2.0,14.0,3.0,48.0,36.0,51.0,12.0,43.0,8.0,47.0,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,2021-11-16T19:45:00.000Z,Stadion Bilino Polje,"3,370",,World Cup Qualification UEFA 1st Round Grp. D Round 10,74,43.0,0.71,7,3,1.0,1.0,323,78.0,12,4,2.0,2.0,0.0,5.0,2.0,0.42,0.29,0.71,0.48,414,200.0,123.0,26.0,41.0,5.0,38.0,23.0,2,2.0,0.0,10.0,48.0,20.0,3.0,15.0,2.0,51.0,35.0,49.0,16.0,57.0,8.0,47.0,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,2021-11-16T19:45:00.000Z,Generali Arena,Orel Grinfeld,"10,076",World Cup Qualification UEFA 1st Round Grp. E Round 10,36,62.0,2.36,22,7,2.0,0.0,390,78.0,11,6,10.0,5.0,0.0,14.0,8.0,1.06,1.3,2.36,2.39,501,147.0,243.0,29.0,48.0,6.0,24.0,31.0,0,2.0,0.0,5.0,63.0,11.0,6.0,10.0,2.0,41.0,25.0,51.0,16.0,43.0,6.0,75.0,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,2022-03-24T19:45:00.000Z,Stadio Renzo Barbera,Clément Turpin,"34,129",World Cup Qualification UEFA 2nd Round Semi-final,9,65.0,2.78,32,5,1.0,1.0,471,83.0,14,16,11.0,16.0,0.0,19.0,13.0,2.46,0.32,2.78,1.64,565,186.0,285.0,29.0,56.0,2.0,7.0,23.0,0,0.0,0.0,8.0,42.0,12.0,0.0,4.0,1.0,58.0,44.0,61.0,14.0,48.0,13.0,76.0,1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2022-03-24T19:45:00.000Z,Estádio Do Dragão,Daniel Siebert,"48,010",World Cup Qualification UEFA 2nd Round Semi-final,40,40.0,1.78,12,5,2.0,1.0,256,72.0,14,1,7.0,0.0,1.0,8.0,4.0,0.94,0.05,0.99,1.33,354,161.0,95.0,23.0,37.0,3.0,25.0,14.0,2,4.0,0.0,8.0,42.0,9.0,1.0,11.0,5.0,55.0,39.0,51.0,16.0,52.0,6.0,50.0,1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Türkiye,2022-03-24T19:45:00.000Z,Estádio Do Dragão,Daniel Siebert,"48,010",World Cup Qualification UEFA 2nd Round Semi-final,6,60.0,3.72,16,8,6.0,4.0,448,85.0,14,2,7.0,1.0,2.0,12.0,4.0,3.14,0.58,3.72,3.28,527,225.0,223.0,27.0,47.0,4.0,31.0,21.0,4,2.0,0.0,7.0,54.0,5.0,0.0,12.0,4.0,52.0,37.0,49.0,15.0,48.0,11.0,65.0,1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,2022-03-24T19:45:00.000Z,Friends Arena,Michael Oliver,"48,628",World Cup Qualification UEFA 2nd Round Semi-final,27,57.0,1.48,10,2,2.0,1.0,460,76.0,26,7,6.0,2.0,0.0,6.0,4.0,1.06,0.42,1.48,0.63,605,247.0,213.0,29.0,36.0,6.0,33.0,43.0,2,5.0,0.0,7.0,64.0,8.0,1.0,24.0,2.0,76.0,41.0,42.0,35.0,43.0,13.0,46.0,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2022-03-24T19:45:00.000Z,Friends Arena,Michael Oliver,"48,628",World Cup Qualification UEFA 2nd Round Semi-final,36,43.0,0.89,10,2,1.0,1.0,307,69.0,18,6,7.0,1.0,0.0,6.0,4.0,0.69,0.2,0.89,0.17,447,166.0,141.0,26.0,30.0,3.0,11.0,25.0,1,4.0,0.0,12.0,43.0,18.0,2.0,29.0,1.0,103.0,57.0,58.0,46.0,57.0,4.0,44.0,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2022-03-24T19:45:00.000Z,Cardiff City Stadium,Szymon Marciniak,"32,053",World Cup Qualification UEFA 2nd Round Semi-final,29,34.0,1.2,14,7,2.0,2.0,236,71.0,7,3,4.0,3.0,0.0,9.0,5.0,1.02,0.18,1.2,2.52,333,129.0,107.0,27.0,47.0,5.0,42.0,15.0,2,2.0,0.0,6.0,75.0,6.0,6.0,29.0,3.0,52.0,34.0,58.0,18.0,62.0,11.0,79.0,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2022-03-24T19:45:00.000Z,Cardiff City Stadium,Szymon Marciniak,"32,053",World Cup Qualification UEFA 2nd Round Semi-final,25,66.0,1.05,16,4,1.0,1.0,531,85.0,15,6,5.0,7.0,0.0,10.0,6.0,0.88,0.17,1.05,0.75,623,290.0,241.0,38.0,62.0,10.0,34.0,25.0,2,2.0,0.0,7.0,58.0,12.0,3.0,7.0,5.0,36.0,25.0,42.0,11.0,38.0,6.0,86.0,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2022-03-24T19:45:00.000Z,Stadio Renzo Barbera,Clément Turpin,"34,129",World Cup Qualification UEFA 2nd Round Semi-final,69,35.0,0.17,4,2,0.0,0.0,223,72.0,13,0,2.0,0.0,0.0,0.0,4.0,0.17,0.0,0.17,0.67,309,161.0,62.0,20.0,36.0,0.0,0.0,19.0,1,1.0,0.0,8.0,80.0,12.0,15.0,52.0,5.0,43.0,28.0,39.0,15.0,52.0,4.0,27.0,1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2022-03-26T14:00:00.000Z,Education City Stadium,"3,000",,World Cup Qualification UEFA 1st Round Grp. H Round 1,10,69.0,0.6,11,3,0.0,0.0,657,89.0,15,3,6.0,2.0,0.0,8.0,3.0,0.43,0.17,0.6,0.18,736,279.0,378.0,36.0,77.0,8.0,23.0,22.0,2,5.0,0.0,7.0,64.0,11.0,1.0,6.0,3.0,54.0,34.0,48.0,20.0,59.0,13.0,65.0,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2022-03-26T14:00:00.000Z,Education City Stadium,"3,000",,World Cup Qualification UEFA 1st Round Grp. H Round 1,57,31.0,0.55,8,4,0.0,0.0,249,75.0,11,2,3.0,1.0,0.0,6.0,2.0,0.31,0.24,0.55,1.21,330,126.0,123.0,29.0,45.0,1.0,11.0,8.0,0,2.0,0.0,10.0,53.0,14.0,2.0,29.0,3.0,51.0,37.0,52.0,14.0,41.0,4.0,50.0,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2022-03-29T18:45:00.000Z,Silesian Stadium,Daniele Orsato,"54,078",World Cup Qualification UEFA 2nd Round Final,28,39.0,1.96,10,8,3.0,1.0,196,70.0,11,8,2.0,0.0,0.0,8.0,2.0,0.76,0.41,1.17,2.1,281,99.0,97.0,23.0,40.0,4.0,31.0,26.0,3,4.0,0.0,4.0,50.0,8.0,3.0,25.0,6.0,40.0,28.0,50.0,12.0,39.0,5.0,50.0,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2022-03-29T18:45:00.000Z,Estádio Do Dragão,Anthony Taylor,"48,010",World Cup Qualification UEFA 2nd Round Final,69,36.0,0.09,3,0,0.0,0.0,258,77.0,12,3,2.0,1.0,0.0,1.0,2.0,0.09,0.0,0.09,0.0,337,165.0,93.0,11.0,25.0,2.0,20.0,18.0,0,2.0,0.0,13.0,72.0,13.0,2.0,25.0,1.0,41.0,38.0,49.0,3.0,14.0,9.0,50.0,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,2022-03-29T18:45:00.000Z,Estádio Do Dragão,Anthony Taylor,"48,010",World Cup Qualification UEFA 2nd Round Final,6,64.0,1.85,11,3,3.0,1.0,523,87.0,11,7,6.0,2.0,0.0,8.0,3.0,1.72,0.14,1.85,1.55,600,282.0,241.0,46.0,68.0,7.0,29.0,32.0,1,1.0,0.0,13.0,65.0,8.0,1.0,8.0,0.0,58.0,39.0,51.0,19.0,86.0,9.0,50.0,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2022-03-29T18:45:00.000Z,Silesian Stadium,Daniele Orsato,"54,078",World Cup Qualification UEFA 2nd Round Final,27,61.0,1.31,12,6,1.0,1.0,361,81.0,15,7,3.0,3.0,0.0,6.0,6.0,0.98,0.32,1.31,1.7,445,174.0,187.0,24.0,52.0,4.0,17.0,20.0,2,2.0,0.0,8.0,62.0,3.0,0.0,16.0,6.0,47.0,28.0,50.0,19.0,61.0,5.0,45.0,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,2022-06-01T18:45:00.000Z,Hampden Park,Danny Desmond Makkelie,"49,772",World Cup Qualification UEFA 2nd Round Semi-final,39,42.0,1.29,14,4,1.0,1.0,302,78.0,14,5,6.0,4.0,0.0,11.0,3.0,1.21,0.08,1.29,0.59,387,163.0,139.0,34.0,57.0,6.0,32.0,21.0,0,2.0,0.0,7.0,50.0,8.0,1.0,12.0,5.0,63.0,43.0,51.0,20.0,57.0,15.0,56.0,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,2022-06-01T18:45:00.000Z,Hampden Park,Danny Desmond Makkelie,"49,772",World Cup Qualification UEFA 2nd Round Semi-final,22,58.0,2.51,15,8,6.0,3.0,461,84.0,16,6,6.0,1.0,0.0,11.0,4.0,2.46,0.05,2.51,3.49,552,255.0,206.0,32.0,50.0,4.0,29.0,14.0,1,3.0,0.0,16.0,73.0,8.0,3.0,22.0,3.0,57.0,42.0,49.0,15.0,43.0,9.0,53.0,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,2022-06-05T16:00:00.000Z,Cardiff City Stadium,Antonio Miguel Mateu Lahoz,"33,280",World Cup Qualification UEFA 2nd Round Final,22,68.0,2.21,22,9,3.0,3.0,489,84.0,7,7,8.0,5.0,0.0,11.0,11.0,1.99,0.22,2.21,1.61,580,219.0,270.0,37.0,59.0,3.0,15.0,22.0,1,2.0,0.0,13.0,81.0,2.0,2.0,15.0,3.0,43.0,28.0,47.0,15.0,56.0,6.0,67.0,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,2022-06-05T16:00:00.000Z,Cardiff City Stadium,Antonio Miguel Mateu Lahoz,"33,280",World Cup Qualification UEFA 2nd Round Final,29,32.0,0.73,10,4,1.0,1.0,189,70.0,7,4,4.0,2.0,1.0,5.0,5.0,0.65,0.08,0.73,0.37,270,76.0,113.0,25.0,43.0,4.0,27.0,16.0,2,2.0,0.0,5.0,33.0,13.0,5.0,20.0,9.0,43.0,31.0,53.0,12.0,44.0,10.0,53.0,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,2022-06-12T18:45:00.000Z,Olympiako Stadio Spyros Louis,"7,825",,World Cup Qualification UEFA 1st Round Grp. B Round 10,50,70.0,1.74,20,6,1.0,1.0,639,90.0,15,5,11.0,3.0,1.0,14.0,6.0,1.39,0.35,1.74,0.93,708,303.0,336.0,40.0,67.0,9.0,28.0,26.0,0,0.0,0.0,5.0,56.0,7.0,0.0,11.0,2.0,41.0,32.0,48.0,9.0,43.0,7.0,58.0,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,2022-06-12T18:45:00.000Z,Panthessaliko Stadio,Julian Weinberger,"15,367",UEFA Nations League C Grp. 2 Round 4,102,59.0,1.35,10,1,1.0,0.0,416,81.0,15,6,6.0,3.0,0.0,6.0,4.0,1.19,0.16,1.35,0.99,515,277.0,139.0,23.0,42.0,5.0,16.0,36.0,2,3.0,0.0,8.0,67.0,8.0,1.0,9.0,1.0,45.0,29.0,45.0,16.0,41.0,9.0,53.0,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2022-06-12T18:45:00.000Z,Olympiako Stadio Spyros Louis,"7,825",,World Cup Qualification UEFA 1st Round Grp. B Round 10,102,30.0,1.21,8,3,2.0,1.0,233,77.0,16,2,5.0,0.0,0.0,4.0,4.0,0.55,0.66,1.21,1.46,302,125.0,108.0,18.0,41.0,2.0,20.0,14.0,1,2.0,0.0,9.0,75.0,11.0,3.0,28.0,5.0,46.0,34.0,52.0,12.0,57.0,9.0,60.0,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2022-06-12T18:45:00.000Z,Panthessaliko Stadio,Julian Weinberger,"15,367",UEFA Nations League C Grp. 2 Round 4,50,41.0,0.5,4,2,1.0,0.0,276,75.0,9,3,1.0,1.0,0.0,2.0,2.0,0.43,0.07,0.5,0.79,369,156.0,120.0,24.0,36.0,1.0,8.0,20.0,0,2.0,0.0,6.0,46.0,8.0,3.0,30.0,0.0,59.0,36.0,55.0,23.0,59.0,10.0,63.0,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2022-11-20T16:00:00.000Z,Al Bayt Stadium,Daniele Orsato,"67,372",FIFA World Cup Round 1,34,47.0,0.32,5,0,1.0,1.0,351,81.0,15,1,5.0,0.0,0.0,2.0,3.0,0.32,0.0,0.32,0.0,434,228.0,123.0,19.0,45.0,3.0,38.0,20.0,3,4.0,0.0,7.0,70.0,2.0,0.0,18.0,1.0,49.0,35.0,47.0,14.0,52.0,10.0,67.0,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,2022-11-20T16:00:00.000Z,Al Bayt Stadium,Daniele Orsato,"67,372",FIFA World Cup Round 1,31,53.0,1.18,6,3,1.0,0.0,412,85.0,15,3,3.0,0.0,0.0,3.0,3.0,0.34,0.06,0.4,1.46,486,295.0,117.0,24.0,46.0,4.0,29.0,17.0,4,2.0,0.0,7.0,47.0,12.0,0.0,6.0,0.0,52.0,39.0,53.0,13.0,48.0,9.0,60.0,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,2022-11-21T13:00:00.000Z,Khalifa International Stadium,Raphael Claus,"45,334",FIFA World Cup Round 1,20,22.0,1.75,8,3,2.0,1.0,142,66.0,14,0,4.0,1.0,1.0,6.0,2.0,0.96,0.0,0.96,1.83,215,76.0,66.0,12.0,27.0,0.0,0.0,17.0,2,2.0,0.0,9.0,75.0,16.0,4.0,23.0,1.0,32.0,22.0,37.0,10.0,50.0,1.0,14.0,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,2022-11-21T13:00:00.000Z,Khalifa International Stadium,Raphael Claus,"45,334",FIFA World Cup Round 1,4,78.0,2.11,13,7,3.0,0.0,716,90.0,9,8,2.0,4.0,0.0,10.0,3.0,1.86,0.25,2.11,3.07,797,386.0,330.0,45.0,63.0,6.0,29.0,18.0,2,0.0,0.0,10.0,77.0,7.0,1.0,4.0,1.0,48.0,38.0,63.0,10.0,50.0,13.0,65.0,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2022-11-21T16:00:00.000Z,Al Thumama Stadium,Wilton Pereira Sampaio,"41,721",FIFA World Cup Round 1,17,47.0,0.89,15,4,0.0,0.0,307,80.0,13,6,7.0,4.0,0.0,8.0,7.0,0.89,0.0,0.89,1.21,385,135.0,172.0,26.0,50.0,8.0,42.0,17.0,2,2.0,0.0,12.0,86.0,10.0,3.0,32.0,1.0,53.0,31.0,54.0,22.0,52.0,4.0,57.0,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,2022-11-21T16:00:00.000Z,Al Thumama Stadium,Wilton Pereira Sampaio,"41,721",FIFA World Cup Round 1,7,53.0,0.67,10,3,2.0,0.0,355,81.0,13,7,4.0,3.0,0.0,6.0,4.0,0.54,0.13,0.67,2.09,436,200.0,155.0,16.0,36.0,7.0,28.0,28.0,1,1.0,0.0,6.0,60.0,6.0,4.0,14.0,4.0,46.0,26.0,46.0,20.0,48.0,4.0,40.0,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2022-11-22T10:00:00.000Z,Lusail Iconic Stadium,Slavko Vinčić,"88,012",FIFA World Cup Round 1,53,31.0,0.15,3,2,0.0,0.0,181,68.0,21,2,0.0,1.0,0.0,3.0,0.0,0.15,0.0,0.15,1.04,266,88.0,93.0,16.0,30.0,2.0,20.0,13.0,1,6.0,0.0,7.0,39.0,14.0,2.0,27.0,5.0,34.0,27.0,38.0,7.0,30.0,3.0,23.0,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,2022-11-22T10:00:00.000Z,Lusail Iconic Stadium,Slavko Vinčić,"88,012",FIFA World Cup Round 1,1,69.0,2.26,15,6,2.0,1.0,508,85.0,7,9,6.0,3.0,0.0,11.0,4.0,0.29,1.18,1.47,2.52,596,326.0,182.0,17.0,46.0,9.0,39.0,24.0,10,0.0,0.0,7.0,41.0,9.0,1.0,9.0,0.0,60.0,44.0,62.0,16.0,70.0,6.0,50.0,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
