team,datetime,competition,ranking,possession,total_shots,shots_on_target,big_chances,accurate_passes,accurate_passes_pc,fouls_committed,corners,blocked_shots,shots_inside_box,shots_outside_box,passes,passes_own_half,passes_opp_half,accurate_long_balls,accurate_long_balls_pc,accurate_crosses,accurate_crosses_pc,throws,offsides,yellow_cards,red_cards,tackles_won,tackles_won_pc,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_pc,aerial_duels_won,aerial_duels_won_pc,successful_dribbles,successful_dribbles_pc,game_id,touches_in_opposition_box,opp,tournament
Denmark,2021-09-01 18:45:00+00:00,World Cup,39,39.0,5.0,2.0,1.0,337.0,81.0,12.0,5.0,0.0,3.0,2.0,416.0,199.0,138.0,26.0,46.0,4.0,31.0,15.0,1.0,0.0,0.0,10.0,48.0,8.0,1.0,11.0,3.0,46.0,35.0,56.0,11.0,42.0,6.0,55.0,1190,,Scotland,1
Israel,2021-09-01 18:45:00+00:00,World Cup,133,40.0,9.0,1.0,0.0,324.0,77.0,14.0,7.0,2.0,3.0,6.0,423.0,173.0,151.0,36.0,53.0,4.0,17.0,21.0,2.0,1.0,0.0,10.0,56.0,16.0,0.0,13.0,5.0,44.0,34.0,50.0,10.0,33.0,6.0,46.0,1191,,Faroe Islands,1
Faroe Islands,2021-09-01 18:45:00+00:00,World Cup,78,60.0,13.0,9.0,8.0,552.0,85.0,11.0,2.0,0.0,9.0,4.0,649.0,318.0,234.0,27.0,55.0,3.0,27.0,14.0,1.0,0.0,0.0,8.0,62.0,19.0,2.0,21.0,1.0,54.0,34.0,50.0,20.0,67.0,7.0,54.0,1191,,Israel,1
Bosnia and Herzegovina,2021-09-01 18:45:00+00:00,World Cup,2,54.0,9.0,2.0,0.0,533.0,91.0,10.0,4.0,2.0,4.0,5.0,586.0,232.0,301.0,37.0,74.0,5.0,23.0,13.0,2.0,1.0,1.0,8.0,57.0,6.0,0.0,17.0,1.0,33.0,29.0,48.0,4.0,29.0,10.0,50.0,1192,,France,1
France,2021-09-01 18:45:00+00:00,World Cup,74,46.0,6.0,2.0,0.0,440.0,90.0,6.0,6.0,0.0,2.0,4.0,489.0,247.0,193.0,21.0,55.0,1.0,5.0,10.0,2.0,1.0,0.0,8.0,47.0,12.0,2.0,33.0,1.0,41.0,31.0,52.0,10.0,71.0,4.0,36.0,1192,,Bosnia and Herzegovina,1
Gibraltar,2021-09-01 18:45:00+00:00,World Cup,136,63.0,23.0,4.0,2.0,337.0,79.0,14.0,6.0,5.0,20.0,3.0,429.0,149.0,188.0,27.0,44.0,9.0,39.0,31.0,2.0,1.0,0.0,11.0,52.0,9.0,2.0,8.0,0.0,58.0,41.0,57.0,17.0,63.0,8.0,67.0,1193,,Latvia,1
Latvia,2021-09-01 18:45:00+00:00,World Cup,203,37.0,4.0,1.0,1.0,171.0,64.0,13.0,0.0,2.0,3.0,1.0,267.0,101.0,70.0,18.0,28.0,0.0,0.0,23.0,1.0,3.0,0.0,5.0,45.0,8.0,5.0,23.0,1.0,41.0,31.0,43.0,10.0,37.0,7.0,44.0,1193,,Gibraltar,1
Luxembourg,2021-09-01 18:45:00+00:00,World Cup,87,47.0,16.0,5.0,2.0,317.0,80.0,15.0,5.0,3.0,11.0,5.0,397.0,186.0,131.0,39.0,57.0,9.0,45.0,24.0,3.0,2.0,0.0,6.0,75.0,17.0,1.0,13.0,2.0,46.0,27.0,39.0,19.0,61.0,10.0,38.0,1194,33.0,Azerbaijan,1
Azerbaijan,2021-09-01 18:45:00+00:00,World Cup,112,53.0,8.0,3.0,0.0,383.0,83.0,11.0,3.0,1.0,4.0,4.0,461.0,238.0,145.0,27.0,47.0,5.0,33.0,15.0,5.0,3.0,0.0,14.0,56.0,11.0,4.0,14.0,2.0,54.0,42.0,61.0,12.0,39.0,4.0,67.0,1194,10.0,Luxembourg,1
Cyprus,2021-09-01 18:45:00+00:00,World Cup,171,74.0,9.0,5.0,5.0,653.0,90.0,9.0,1.0,0.0,7.0,2.0,724.0,427.0,226.0,30.0,67.0,5.0,38.0,17.0,1.0,3.0,0.0,10.0,71.0,16.0,2.0,11.0,3.0,42.0,27.0,55.0,15.0,63.0,8.0,57.0,1195,20.0,Malta,1
Malta,2021-09-01 18:45:00+00:00,World Cup,124,26.0,5.0,3.0,0.0,173.0,69.0,6.0,4.0,1.0,3.0,2.0,251.0,120.0,53.0,17.0,32.0,3.0,38.0,28.0,3.0,1.0,1.0,4.0,36.0,13.0,0.0,12.0,2.0,31.0,22.0,45.0,9.0,38.0,3.0,33.0,1195,13.0,Cyprus,1
Netherlands,2021-09-01 18:45:00+00:00,World Cup,47,35.0,7.0,2.0,1.0,236.0,70.0,12.0,3.0,2.0,6.0,1.0,336.0,179.0,57.0,30.0,45.0,1.0,11.0,16.0,2.0,3.0,0.0,14.0,64.0,11.0,1.0,28.0,5.0,59.0,39.0,55.0,20.0,56.0,6.0,86.0,1196,,Norway,1
Norway,2021-09-01 18:45:00+00:00,World Cup,7,65.0,17.0,6.0,3.0,543.0,87.0,11.0,4.0,3.0,12.0,5.0,627.0,218.0,325.0,44.0,59.0,7.0,30.0,24.0,1.0,2.0,0.0,4.0,57.0,5.0,2.0,11.0,1.0,48.0,32.0,45.0,16.0,44.0,13.0,48.0,1196,,Netherlands,1
Ireland,2021-09-01 18:45:00+00:00,World Cup,6,72.0,29.0,7.0,3.0,528.0,88.0,9.0,14.0,12.0,18.0,11.0,603.0,178.0,350.0,31.0,66.0,11.0,24.0,18.0,2.0,1.0,0.0,12.0,67.0,10.0,0.0,4.0,1.0,42.0,37.0,60.0,5.0,22.0,10.0,67.0,1197,,Portugal,1
Portugal,2021-09-01 18:45:00+00:00,World Cup,60,28.0,6.0,2.0,1.0,174.0,72.0,11.0,3.0,0.0,5.0,1.0,243.0,89.0,85.0,26.0,43.0,3.0,33.0,13.0,0.0,4.0,0.0,6.0,50.0,13.0,11.0,40.0,5.0,43.0,25.0,40.0,18.0,78.0,5.0,28.0,1197,,Ireland,1
